date,open,high,low,close,5MA_value,25MA_value,75MA_value,VWAP,volume,5MA_volume,25MA_volume,ReturnViRatio
2022-08-16,33924.35,34281.36,33852.57,34152.01,33694.33,32413.67,32021.99,           ,291753432,296852638.8,321142830.68,0.0
2022-08-17,34029.55,34161.01,33828.41,33980.32,33828.49,32541.97,32035.36,           ,285726703,290415951.8,320818561.72,0.0
2022-08-18,33981.86,34043.83,33844.46,33999.04,33960.97,32676.72,32047.86,           ,284136013,285299527.2,319086069.04,0.0
2022-08-19,33904.69,33904.69,33627.09,33706.74,33950.11,32773.46,32055.57,           ,298427956,284752989.2,317527669.68,-0.2598551440029417
2022-08-22,33586.59,33586.59,33007.63,33063.61,33780.34,32853.1,32042.27,           ,308895170,293787854.8,317484920.2,-0.5181174797194127
2022-08-23,33033.52,33138.26,32858.89,32909.59,33531.86,32896.41,32041.09,           ,254459765,286329121.4,312465421.56,-0.4276671272930554
2022-08-24,32899.01,33095.5,32828.56,32969.23,33329.64,32940.18,32042.02,           ,258939061,280971593.0,310057336.44,-0.42503611098626287
2022-08-25,33029.27,33306.09,32889.85,33291.78,33188.19,32990.38,32055.97,           ,308532414,285850873.2,310235132.8,-0.3065269057389523
2022-08-26,33293.43,33364.7,32278.22,32283.4,32903.52,33005.74,32057.6,           ,352849368,296735155.6,311510257.84,-0.6122804220731868
2022-08-29,32188.0,32325.16,31972.79,32098.99,32710.59,33010.1,32061.14,           ,320085544,298973230.4,313729311.84,-0.5610694774711891
2022-08-30,32163.84,32205.66,31647.22,31790.87,32486.85,33011.27,32061.94,           ,328642620,313809801.4,313647024.52,-0.6624709225976564
2022-08-31,31827.15,31966.04,31509.59,31510.43,32195.09,32983.79,32052.79,           ,392775997,340577188.6,314653128.44,-0.7573159141358354
2022-09-01,31454.58,31677.51,31219.75,31656.42,31868.02,32948.86,32045.23,           ,339360115,346742728.8,314202349.4,-0.7304315491230282
2022-09-02,31848.5,32026.9,31182.09,31318.44,31675.03,32887.79,32027.42,           ,306180053,337408865.8,306838645.4,-0.8264571770980214
2022-09-06,31343.79,31463.89,31048.46,31145.3,31484.29,32821.67,32022.82,           ,348979454,343187647.8,307777655.2,-0.8896318989729218
2022-09-07,31145.63,31644.34,31095.21,31581.28,31442.37,32789.07,32027.2,           ,355104980,348480119.8,309166168.72,-0.7738146267756213
