date,open,high,low,close,5MA_value,25MA_value,75MA_value,VWAP,volume,5MA_volume,25MA_volume,ReturnViRatio
2022-10-03,10659.01,10875.46,10577.88,10815.43,10801.93,11439.68,11775.5,           ,944632685,974596376.6,1034583680.52,0.0
2022-10-04,11054.71,11189.95,11044.04,11176.4,10871.31,11406.03,11782.57,           ,1025798623,998922556.4,1043617000.08,0.0
2022-10-05,11022.67,11210.32,10910.75,11148.63,10890.71,11376.65,11787.24,           ,831460485,974371339.2,1040924289.04,0.0
2022-10-06,11129.04,11230.44,11051.27,11073.31,10957.87,11346.94,11787.29,           ,876741109,954883790.0,1029357880.48,0.1878816024044775
2022-10-07,10877.28,10891.92,10608.51,10652.4,10973.23,11301.63,11781.95,           ,1026942025,941114985.4,1031405601.84,-0.12011365029106645
2022-10-10,10659.94,10669.93,10449.03,10542.1,10918.56,11258.08,11772.75,           ,813396644,914867777.2,1029162869.12,-0.16755541688144696
2022-10-11,10484.37,10608.84,10351.98,10426.19,10768.52,11213.33,11757.0,           ,991362119,907980476.4,1030948491.72,-0.24866450559500902
2022-10-12,10436.99,10494.53,10372.2,10417.09,10622.21,11158.34,11742.23,           ,824575176,906603414.6,1027963394.12,-0.2634988472224261
2022-10-13,10131.81,10697.7,10088.82,10649.15,10537.38,11109.82,11735.13,           ,1050527027,941360598.2,1034916494.76,-0.11355217731584978
2022-10-14,10742.81,10766.68,10308.81,10321.38,10471.18,11038.18,11723.71,           ,918819993,919736191.8,1036358238.92,-0.3295301761883173
2022-10-17,10575.64,10696.59,10569.69,10675.8,10497.92,10974.56,11719.01,           ,945904837,946237830.4,1040313799.28,-0.09067845297677163
2022-10-18,10963.98,10972.97,10670.11,10772.4,10567.16,10940.11,11714.27,           ,931100238,934185454.2,1033366325.88,-0.026664265977296202
2022-10-19,10689.31,10808.03,10592.87,10680.5,10619.84,10898.54,11705.71,           ,922810636,953832546.2,1028367281.08,-0.08508203029110782
2022-10-20,10657.41,10837.29,10574.55,10614.84,10612.98,10861.04,11695.75,           ,867365540,917200248.8,1021909993.72,-0.1286805940094205
2022-10-21,10576.03,10875.72,10542.43,10859.71,10720.65,10837.49,11685.6,           ,1024047200,938245690.2,940943708.24,0.028905118928324296
2022-10-24,10867.06,10983.52,10713.32,10952.61,10776.01,10814.2,11676.5,           ,922883717,933641466.2,940511781.6,0.0890308943732849
2022-10-25,10996.96,11210.37,10996.96,11199.11,10861.35,10805.16,11674.18,           ,993959091,946213236.8,945766178.96,0.25241401593467144
