date,open,high,low,close,5MA_value,25MA_value,75MA_value,VWAP,volume,5MA_volume,25MA_volume,ReturnViRatio
2022-10-03,3609.78,3698.35,3604.93,3678.43,3654.17,3860.44,3950.94,           ,2796269,2746057.6,2498631.92,0.0
2022-10-04,3726.46,3791.92,3726.46,3790.93,3682.89,3850.85,3952.59,           ,2915002,2819297.0,2539478.68,0.0
2022-10-05,3753.25,3806.91,3722.66,3783.28,3695.74,3842.74,3954.04,           ,2502482,2792210.4,2556342.92,0.0
2022-10-06,3771.97,3797.93,3739.22,3744.52,3716.55,3834.32,3953.77,           ,2518959,2775759.4,2555442.28,0.14813662531799116
2022-10-07,3706.74,3706.74,3620.73,3639.66,3727.36,3821.23,3952.16,           ,2716139,2689770.2,2571961.68,-0.08514204591263552
2022-10-10,3647.51,3652.17,3588.1,3612.39,3714.15,3808.76,3949.72,           ,2381483,2606813.0,2583893.72,-0.1302760291301901
2022-10-11,3595.86,3640.66,3568.45,3588.84,3673.73,3795.98,3945.41,           ,2731977,2570208.0,2603185.04,-0.18436207977720231
2022-10-12,3590.83,3608.34,3573.86,3577.03,3632.48,3779.87,3941.11,           ,2375059,2544723.4,2609795.4,-0.2165544342050069
2022-10-13,3520.37,3685.41,3491.58,3669.91,3617.56,3766.42,3939.08,           ,3202991,2681529.8,2646312.72,-0.018813596244907558
2022-10-14,3690.41,3712.0,3579.68,3583.07,3606.24,3747.05,3935.94,           ,2666728,2671647.6,2669090.84,-0.19899580157867483
2022-10-17,3638.65,3689.73,3638.65,3677.95,3619.36,3729.75,3934.51,           ,2581607,2711672.4,2686465.32,-0.000983621506642309
2022-10-18,3746.26,3762.79,3686.53,3719.98,3645.58,3721.24,3933.1,           ,2663739,2698024.8,2687315.0,0.08258500270171476
2022-10-19,3703.11,3728.58,3666.51,3695.16,3669.21,3711.21,3931.29,           ,2398756,2702764.2,2683922.36,0.03372724803762708
2022-10-20,3689.05,3736.0,3656.44,3665.78,3668.38,3701.78,3928.9,           ,2643574,2590880.8,2689256.12,-0.025930307335406442
2022-10-21,3657.1,3757.89,3647.42,3752.75,3702.32,3696.96,3926.9,           ,3006077,2658750.6,2634965.28,0.1545768676949064
2022-10-24,3762.01,3810.74,3741.65,3797.34,3726.2,3692.86,3925.54,           ,2588908,2660210.8,2653812.16,0.24414467868976492
2022-10-25,3799.44,3862.85,3799.44,3859.11,3754.02,3692.98,3925.6,           ,2710890,2669641.0,2668807.96,0.3749296980809575
2022-10-26,3825.97,3886.15,3824.07,3830.6,3781.11,3694.61,3925.76,           ,2920633,2774016.4,2686147.76,0.31746556201558773
2022-10-27,3834.69,3859.95,3803.79,3807.3,3809.42,3696.58,3925.83,           ,3065025,2858306.6,2710714.08,0.27136647457117075
2022-10-28,3808.26,3905.42,3808.26,3901.06,3839.08,3704.9,3927.31,           ,2901520,2837395.2,2714272.24,0.47362367159731417
2022-10-31,3881.85,3893.73,3863.18,3871.98,3854.01,3713.57,3927.42,           ,2805343,2880682.2,2721087.2,0.40771044522204547
2022-11-01,3901.79,3911.79,3843.8,3856.1,3853.4,3721.93,3927.76,           ,2621979,2862900.0,2724014.16,0.3771078653234258
2022-11-02,3852.9,3894.44,3758.68,3759.69,3839.22,3723.55,3925.4,           ,3113992,2901571.8,2743057.24,0.17417894015104146
2022-11-03,3733.25,3750.59,3698.15,3719.89,3821.74,3726.73,3922.2,           ,2856235,2859813.8,2753258.08,0.08722016145633872
2022-11-04,3766.98,3796.34,3708.84,3770.55,3795.64,3734.13,3919.16,           ,3025947,2884699.2,2748452.56,0.19489664020595365
2022-11-07,3780.71,3813.95,3764.7,3806.8,3782.6,3739.26,3917.09,           ,2496453,2822921.2,2736459.92,0.27268595361322145
2022-11-08,3817.02,3859.4,3786.28,3828.11,3777.0,3740.75,3915.24,           ,2586670,2815859.4,2723326.64,0.32024489260032774
2022-11-09,3810.94,3818.2,3744.22,3748.57,3774.78,3739.36,3912.94,           ,2542783,2701617.6,2724938.68,0.1513918133379887
2022-11-10,3859.89,3958.33,3859.89,3956.37,3822.08,3747.83,3912.05,           ,3357653,2801901.2,2758486.44,0.5950033946515325
2022-11-11,3963.72,4001.48,3944.82,3992.93,3866.55,3761.97,3910.99,           ,3032917,2803295.2,2771157.56,0.6270630064032167
2022-11-14,3977.97,4008.97,3956.4,3957.25,3896.64,3775.76,3908.68,           ,2615043,2827013.2,2780499.96,0.5600522090886217
2022-11-15,4006.41,4028.84,3953.17,3991.73,3929.37,3791.88,3906.99,           ,2794165,2868512.2,2782987.48,0.6324165644671045
2022-11-16,3976.82,3983.09,3954.34,3958.79,3971.41,3807.15,3905.22,           ,2406651,2841285.8,2784251.16,0.569895709257745
2022-11-17,3919.26,3954.33,3906.54,3946.56,3969.45,3818.21,3902.44,           ,2196880,2609131.2,2744006.72,0.5477268889361585
2022-11-18,3966.39,3979.89,3935.98,3965.34,3963.93,3833.5,3899.95,           ,2236041,2449756.0,2726779.24,0.5900899126668577
2022-11-21,3956.23,3962.0,3933.34,3949.94,3962.47,3844.38,3897.35,           ,2113923,2349532.0,2708071.88,0.562384211950461
2022-11-22,3965.51,4005.88,3956.88,4003.58,3964.84,3855.73,3895.53,           ,1998945,2190488.0,2681480.12,0.6776729608186188
2022-11-23,4000.3,4033.78,3998.66,4027.26,3978.53,3869.01,3894.26,           ,1753877,2059933.2,2655684.96,0.7297773511823523
2022-11-25,4023.34,4034.02,4020.76,4026.12,3994.44,3883.42,3891.8,           ,902964,1801150.0,2586060.56,0.7320388789876512
2022-11-28,4005.36,4012.27,3955.77,3963.94,3994.16,3891.87,3888.56,           ,2097893,1773520.4,2549733.2,0.6049403809196429
