date,open,high,low,close,5MA_value,25MA_value,75MA_value,VWAP,volume,5MA_volume,25MA_volume,ReturnViRatio
2022-10-03,1827.32,1848.04,1815.3,1847.58,1856.09,1925.89,1920.5,           ,1308055200,1421248420,1190952360,0.0
2022-10-04,1876.99,1907.36,1876.26,1906.89,1862.87,1922.98,1921.18,           ,1417941500,1465743480,1211408828,0.0
2022-10-05,1922.22,1924.53,1909.35,1912.92,1874.42,1921.73,1921.78,           ,1220534100,1389547660,1215320844,0.0
2022-10-06,1914.12,1930.47,1914.12,1922.47,1885.16,1919.89,1922.93,           ,1175458300,1336005680,1220273064,0.33992909052627085
2022-10-07,1898.37,1913.59,1896.41,1906.8,1899.33,1917.64,1924.1,           ,1146250700,1253647960,1211029360,0.2850967120257475
2022-10-11,1887.69,1888.6,1867.53,1871.24,1904.06,1915.07,1924.31,           ,1338858000,1259808520,1218808380,0.11050469987254706
2022-10-12,1867.27,1876.01,1865.64,1869.0,1896.48,1912.62,1924.52,           ,1189855500,1214191320,1223339284,0.09333318422006757
2022-10-13,1866.09,1866.83,1854.61,1854.61,1884.82,1909.66,1924.56,           ,1076304000,1185345300,1232270512,0.031783622881984566
2022-10-14,1882.05,1906.07,1880.62,1898.19,1879.96,1908.52,1924.98,           ,1357975800,1221848800,1250803756,0.23352246060437187
2022-10-17,1881.23,1884.43,1875.24,1879.56,1874.52,1907.08,1924.88,           ,1086271000,1209852860,1247532252,0.14221677967570862
2022-10-18,1902.0,1905.34,1889.59,1901.44,1880.56,1904.83,1924.8,           ,1154565300,1172994320,1243496712,0.2414812838222131
2022-10-19,1901.42,1910.91,1901.42,1905.06,1887.77,1902.41,1924.95,           ,1018838700,1138790960,1233248892,0.26125197128920546
2022-10-20,1890.05,1899.25,1886.96,1895.41,1895.93,1899.02,1925.28,           ,1093160400,1142162240,1238238824,0.22216258873343026
2022-10-21,1889.21,1891.49,1881.98,1881.98,1892.69,1894.83,1925.77,           ,1061228300,1082812740,1241942888,0.16203727155103115
2022-10-24,1902.58,1904.35,1886.97,1887.19,1894.21,1892.42,1926.0,           ,1065585400,1078675620,1235021652,0.18849683866370084
2022-10-25,1898.13,1912.61,1895.71,1907.14,1895.35,1890.69,1926.38,           ,1072619000,1062286360,1240515584,0.2883077088549455
2022-10-26,1916.61,1925.7,1916.38,1918.21,1897.98,1889.88,1927.21,           ,1083280800,1075174780,1225505880,0.34463609325435196
2022-10-27,1916.86,1916.86,1905.48,1905.56,1900.01,1888.21,1927.52,           ,1111034900,1078749680,1226982620,0.2868299293977204
2022-10-28,1894.93,1908.58,1892.33,1899.05,1903.43,1887.34,1927.67,           ,2489013400,1364306700,1281937896,0.25637648004491936
2022-10-31,1916.08,1929.43,1915.62,1929.43,1911.87,1887.87,1927.87,           ,1266226800,1404434980,1284533440,0.4122274678730111
2022-11-01,1934.45,1938.98,1930.3,1938.5,1918.15,1890.84,1928.6,           ,1269598600,1443830900,1272033704,0.4551892756880422
2022-11-02,1933.42,1944.95,1933.42,1940.46,1922.6,1893.54,1929.29,           ,1464116700,1519998080,1282779724,0.4704490075122907
2022-11-04,1925.04,1926.98,1907.61,1915.4,1924.56,1895.95,1929.59,           ,1676415300,1633074160,1285775808,0.3474867184123707
2022-11-07,1929.57,1938.28,1927.27,1934.09,1931.57,1898.56,1930.14,           ,1263734800,1388018440,1278598472,0.4395613808622083
2022-11-08,1945.0,1961.74,1944.93,1957.56,1937.2,1903.42,1930.87,           ,1375737700,1409920620,1271306408,0.5618016829988964
2022-11-09,1957.48,1959.14,1946.22,1949.49,1939.4,1907.5,1930.92,           ,1315324500,1419065800,1271597180,0.521701302347179
2022-11-10,1934.55,1939.1,1930.66,1936.66,1938.64,1908.69,1930.73,           ,1303205900,1386883640,1267007756,0.45905556228637967
2022-11-11,1963.65,1980.01,1961.75,1977.76,1951.11,1911.29,1931.02,           ,1784609500,1408522480,1289570772,0.6733986905974192
2022-11-14,1974.87,1975.86,1956.9,1956.9,1955.67,1912.66,1931.2,           ,1503932900,1456562100,1302709756,0.5559004728320794
2022-11-15,1958.22,1966.49,1957.44,1964.22,1957.0,1914.96,1931.48,           ,1258666600,1433147880,1307206392,0.5917092115808311
2022-11-16,1964.48,1966.78,1948.89,1963.29,1959.76,1918.64,1931.72,           ,1266661800,1423415340,1304318544,0.5918714326932638
2022-11-17,1962.79,1972.75,1962.79,1966.28,1965.69,1922.53,1931.95,           ,1110675100,1384909180,1301151328,0.611915277983895
2022-11-18,1971.79,1976.33,1966.06,1967.03,1963.54,1927.03,1932.31,           ,1169332700,1261853820,1304872476,0.6206816275497153
2022-11-21,1972.49,1975.14,1965.64,1972.57,1966.67,1930.0,1932.47,           ,1005494500,1162166140,1290773224,0.6543815002670554
2022-11-22,1983.1,1998.61,1982.72,1994.75,1972.78,1934.61,1933.4,           ,1244357800,1159304380,1297096696,0.7762351576765069
2022-11-24,2014.11,2023.39,2013.68,2018.8,1983.88,1939.31,1934.57,           ,1354815100,1176935040,1305106688,0.9047012328851913
2022-11-25,2019.5,2020.94,2013.78,2018.0,1994.23,1943.82,1935.73,           ,1047127000,1164225420,1306238220,0.9014324980701938
2022-11-28,2018.61,2019.79,1997.82,2004.31,2001.68,1948.18,1936.49,           ,1176664700,1165691820,1309578392,0.8342984747093811
