日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20221123,   34091.57,   34262.07,   34004.64,   34194.06,33856.89   ,32774.31   ,31744.52   ,           ,      236818182,301094312      ,367606756.12   
20221122,   33810.05,    34115.7,   33810.05,    34098.1,33728.84   ,32623.5    ,31725.59   ,           ,      279597407,314839313.6    ,370755618.68   
20221121,    33760.3,   33864.59,   33559.18,   33700.28,33627.8    ,32480.53   ,31708.71   ,           ,      352960706,337287700.2    ,375202263.12   
20221118,   33606.59,   33827.94,   33540.64,   33745.69,33595.09   ,32339.95   ,31696.76   ,           ,      314527010,338812789.8    ,376053200.4    
20221117,   33329.27,   33616.02,   33239.75,   33546.32,33595.52   ,32175.52   ,31683.17   ,           ,      321568255,362051919.2    ,378711147.48   
20221116,   33554.93,   33682.83,   33516.99,   33553.83,33629.33   ,32035.22   ,31673.39   ,           ,      305543190,395389337      ,384755409      
20221115,   33755.94,   33987.06,    33320.2,   33592.92,33421.35   ,31861.5    ,31657.95   ,           ,      391839340,406445338.4    ,384794997.44   
20221114,   33662.05,    33964.3,   33533.96,    33536.7,33334.94   ,31687.35   ,31647.36   ,           ,      360586154,396653969.2    ,383460234.12   
20221111,   33797.75,   33817.96,   33394.43,   33747.86,33193      ,31513.99   ,31638.14   ,           ,      430722657,392757372.8    ,381775442.16   
20221110,   33263.91,   33727.73,   33167.82,   33715.37,32924.07   ,31335.95   ,31621.89   ,           ,      488255344,391709292      ,379361924.36   
20221109,   33004.47,   33065.11,   32478.87,   32513.94,32581.24   ,31184.41   ,31601.66   ,           ,      360823197,365511695.8    ,372189653.32   
20221108,   32934.56,   33355.39,   32831.46,   33160.83,32508.01   ,31094.81   ,31591.63   ,           ,      342882494,373276324.2    ,369438422.2    
20221107,    32454.1,   32895.59,   32424.99,      32827,32406.48   ,30981.03   ,31576.01   ,           ,      341103172,369814146.2    ,370884412.96   
20221104,   32265.01,   32611.52,   31938.92,   32403.22,32387.67   ,30847.59   ,31563.65   ,           ,      425482253,380414394.8    ,373249162.4    
20221103,   31985.05,   32185.71,   31727.05,   32001.25,32479.39   ,30700.48   ,31558.76   ,           ,      357267363,395202792.2    ,374904321.28   
20221102,   32576.28,   33071.93,   32139.77,   32147.76,32485.79   ,30589.45   ,31557.08   ,           ,      399646339,402256252.8    ,376310580.72   
20221101,   32862.79,   32975.48,   32485.23,    32653.2,32424.06   ,30490.89   ,31552.8    ,           ,      325571604,408407801.4    ,377890319.4    
