日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20221123,     4000.3,    4033.78,    3998.66,    4027.26,3978.53    ,3869.01    ,3894.26    ,           ,        1753877,2059933.2      ,2655684.96     
20221122,    3965.51,    4005.88,    3956.88,    4003.58,3964.84    ,3855.73    ,3895.53    ,           ,        1998945,2190488        ,2681480.12     
20221121,    3956.23,       3962,    3933.34,    3949.94,3962.47    ,3844.38    ,3897.35    ,           ,        2113923,2349532        ,2708071.88     
20221118,    3966.39,    3979.89,    3935.98,    3965.34,3963.93    ,3833.5     ,3899.95    ,           ,        2236041,2449756        ,2726779.24     
20221117,    3919.26,    3954.33,    3906.54,    3946.56,3969.45    ,3818.21    ,3902.44    ,           ,        2196880,2609131.2      ,2744006.72     
20221116,    3976.82,    3983.09,    3954.34,    3958.79,3971.41    ,3807.15    ,3905.22    ,           ,        2406651,2841285.8      ,2784251.16     
20221115,    4006.41,    4028.84,    3953.17,    3991.73,3929.37    ,3791.88    ,3906.99    ,           ,        2794165,2868512.2      ,2782987.48     
20221114,    3977.97,    4008.97,     3956.4,    3957.25,3896.64    ,3775.76    ,3908.68    ,           ,        2615043,2827013.2      ,2780499.96     
20221111,    3963.72,    4001.48,    3944.82,    3992.93,3866.55    ,3761.97    ,3910.99    ,           ,        3032917,2803295.2      ,2771157.56     
20221110,    3859.89,    3958.33,    3859.89,    3956.37,3822.08    ,3747.83    ,3912.05    ,           ,        3357653,2801901.2      ,2758486.44     
20221109,    3810.94,     3818.2,    3744.22,    3748.57,3774.78    ,3739.36    ,3912.94    ,           ,        2542783,2701617.6      ,2724938.68     
20221108,    3817.02,     3859.4,    3786.28,    3828.11,3777       ,3740.75    ,3915.24    ,           ,        2586670,2815859.4      ,2723326.64     
20221107,    3780.71,    3813.95,     3764.7,     3806.8,3782.6     ,3739.26    ,3917.09    ,           ,        2496453,2822921.2      ,2736459.92     
20221104,    3766.98,    3796.34,    3708.84,    3770.55,3795.64    ,3734.13    ,3919.16    ,           ,        3025947,2884699.2      ,2748452.56     
20221103,    3733.25,    3750.59,    3698.15,    3719.89,3821.74    ,3726.73    ,3922.2     ,           ,        2856235,2859813.8      ,2753258.08     
20221102,     3852.9,    3894.44,    3758.68,    3759.69,3839.22    ,3723.55    ,3925.4     ,           ,        3113992,2901571.8      ,2743057.24     
20221101,    3901.79,    3911.79,     3843.8,     3856.1,3853.4     ,3721.93    ,3927.76    ,           ,        2621979,2862900        ,2724014.16     
20221031,    3881.85,    3893.73,    3863.18,    3871.98,3854.01    ,3713.57    ,3927.42    ,           ,        2805343,2880682.2      ,2721087.2      
20221028,    3808.26,    3905.42,    3808.26,    3901.06,3839.08    ,3704.9     ,3927.31    ,           ,        2901520,2837395.2      ,2714272.24     
20221027,    3834.69,    3859.95,    3803.79,     3807.3,3809.42    ,3696.58    ,3925.83    ,           ,        3065025,2858306.6      ,2710714.08     
20221026,    3825.97,    3886.15,    3824.07,     3830.6,3781.11    ,3694.61    ,3925.76    ,           ,        2920633,2774016.4      ,2686147.76     
20221025,    3799.44,    3862.85,    3799.44,    3859.11,3754.02    ,3692.98    ,3925.6     ,           ,        2710890,2669641        ,2668807.96     
20221024,    3762.01,    3810.74,    3741.65,    3797.34,3726.2     ,3692.86    ,3925.54    ,           ,        2588908,2660210.8      ,2653812.16     
20221021,     3657.1,    3757.89,    3647.42,    3752.75,3702.32    ,3696.96    ,3926.9     ,           ,        3006077,2658750.6      ,2634965.28     
20221020,    3689.05,       3736,    3656.44,    3665.78,3668.38    ,3701.78    ,3928.9     ,           ,        2643574,2590880.8      ,2689256.12     
20221019,    3703.11,    3728.58,    3666.51,    3695.16,3669.21    ,3711.21    ,3931.29    ,           ,        2398756,2702764.2      ,2683922.36     
20221018,    3746.26,    3762.79,    3686.53,    3719.98,3645.58    ,3721.24    ,3933.1     ,           ,        2663739,2698024.8      ,2687315        
20221017,    3638.65,    3689.73,    3638.65,    3677.95,3619.36    ,3729.75    ,3934.51    ,           ,        2581607,2711672.4      ,2686465.32     
20221014,    3690.41,       3712,    3579.68,    3583.07,3606.24    ,3747.05    ,3935.94    ,           ,        2666728,2671647.6      ,2669090.84     
20221013,    3520.37,    3685.41,    3491.58,    3669.91,3617.56    ,3766.42    ,3939.08    ,           ,        3202991,2681529.8      ,2646312.72     
20221012,    3590.83,    3608.34,    3573.86,    3577.03,3632.48    ,3779.87    ,3941.11    ,           ,        2375059,2544723.4      ,2609795.4      
20221011,    3595.86,    3640.66,    3568.45,    3588.84,3673.73    ,3795.98    ,3945.41    ,           ,        2731977,2570208        ,2603185.04     
20221010,    3647.51,    3652.17,     3588.1,    3612.39,3714.15    ,3808.76    ,3949.72    ,           ,        2381483,2606813        ,2583893.72     
20221007,    3706.74,    3706.74,    3620.73,    3639.66,3727.36    ,3821.23    ,3952.16    ,           ,        2716139,2689770.2      ,2571961.68     
